Year,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal)
2023,500.0,4000.0,850.0
2022,600.0,4750.0,650.0
2021,500.0,3500.0,700.0
2020,500.0,3750.0,675.2
2019,500.0,3000.0,702.9
2018,500.0,3000.0,700.0
2017,500.0,2500.0,500.0
2016,500.0,2500.0,600.0
2015,400.0,2750.0,850.0
2014,400.0,3000.0,650.0
2013,350.0,2500.0,600.0
2012,341.76,2297.68,494.8
