Year,One-way Ticket (Local Transport),Gasoline (1 liter)
2023,100.0,199.23
2022,100.0,148.08
2021,100.0,124.73
2020,100.0,109.22
2019,90.0,112.38
2018,80.0,107.81
2017,50.0,98.21
2016,70.0,93.5
2015,60.0,97.54
2014,50.0,116.86
2013,60.0,110.58
2012,40.8,124.62
