Year,Monthly Pass (Regular Price)
2023,5000.00
2022,-
2021,3923.91
2020,4000.00
2019,3000.00
2018,3000.00
2017,2136.96
2016,3000.00
2015,3000.00
2014,4000.00
2013,-
2012,-
