Year,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate"
2023,14.33
2022,12.36
2021,12.72
2020,14.55
2019,14.42
2018,13.78
2017,14.5
2016,17.38
2015,15.6
2014,16.83
2013,15.33
2012,19.0
