Year,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",Mobile Phone Monthly Plan with Calls and 10GB+ Data
2023,3453.85,5116.56,1907.14
2022,3311.11,6423.81,
2021,3725.62,6970.53,
2020,4990.42,6382.35,
2019,5461.46,6222.66,
2018,5775.00,6676.19,
2017,5554.76,5185.0,
2016,5067.86,4238.89,
2015,4280.00,4329.9,
2014,5258.93,4900.0,
2013,,3666.67,
2012,6505.44,3868.8,
