Year,"Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat"
2024,5602.82,2312.50,841.18
2023,5771.08,2278.82,811.54
2022,5947.37,-,870.0
2021,5750.00,1928.57,865.0
2020,5441.18,-,770.59
2019,5522.49,802.38,813.62
2018,6954.55,850.00,806.82
2017,5925.00,500.00,754.76
2016,6394.74,660.00,675.0
2015,7291.58,1125.00,803.85
2014,7820.69,766.67,633.33
2013,-,-,533.33
2012,6835.20,915.00,541.28
