Year,One-way Ticket (Local Transport),Gasoline (1 liter)
2024,104.06,191.62
2023,92.31,199.23
2022,84.55,148.08
2021,90.77,124.92
2020,80.0,109.22
2019,87.08,112.38
2018,79.52,108.7
2017,61.88,98.63
2016,72.27,94.25
2015,62.31,98.74
2014,61.11,118.79
2013,67.5,110.58
2012,43.97,124.62
