Year,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal)
2024,715.79,4166.67,880.78
2023,600.42,4249.49,806.92
2022,712.5,4743.39,619.04
2021,538.24,3332.14,712.31
2020,552.94,3503.82,676.95
2019,600.58,2946.83,755.88
2018,541.93,3241.48,749.37
2017,545.0,3248.33,611.0
2016,473.86,2754.53,658.24
2015,511.76,3772.91,838.57
2014,392.13,2759.46,695.78
2013,353.0,2608.86,593.75
2012,432.24,2854.88,564.77
