Year,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",Mobile Phone Monthly Plan with Calls and 10GB+ Data
2024,4786.07,4952.97,2100.00
2023,3453.85,5116.56,1907.14
2022,3311.11,6423.81,-
2021,3867.77,6852.88,-
2020,4990.42,6382.35,-
2019,5461.46,6222.66,-
2018,5997.37,6827.27,-
2017,5833.39,5463.64,-
2016,5445.19,4278.95,-
2015,4509.09,4390.82,-
2014,5258.93,4900.0,-
2013,2333.33,3875.0,-
2012,6505.44,4607.33,-
