Year,Monthly Pass (Regular Price)
2024,3614.29
2023,4596.00
2022,-
2021,4069.57
2020,4139.75
2019,3501.99
2018,3388.89
2017,2472.95
2016,2900.00
2015,3100.00
2014,4500.00
2013,-
2012,-
