Year,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate"
2024,15.17
2023,14.33
2022,12.36
2021,12.72
2020,14.55
2019,14.42
2018,13.78
2017,14.94
2016,17.71
2015,15.84
2014,17.14
2013,15.75
2012,20.67
