Year,Monthly Pass (Regular Price)
2023,800.0
2022,600.0
2021,500.0
2020,575.0
2019,450.0
2018,380.0
2017,320.0
2016,350.0
2015,285.62
2014,335.0
2013,380.0
2012,240.0
2011,300.0
2010,190.35
