"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",Mobile Phone Monthly Plan with Calls and 10GB+ Data
1640.96,761.31,626.39
1338.47,801.05,
1589.26,825.29,
1209.74,904.76,
1103.24,993.12,
961.64,919.12,
809.87,828.83,
950.53,849.11,
1061.58,834.97,
1011.68,745.36,
808.72,708.33,
916.3,733.67,
850.0,442.5,
453.33,526.67,
