Year,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal)
2023,170.0,700.0,80.0
2022,150.0,600.0,70.0
2021,150.0,600.0,65.0
2020,120.0,550.0,60.0
2019,140.0,600.0,60.0
2018,120.0,500.0,60.0
2017,100.0,460.0,57.5
2016,100.0,450.0,55.0
2015,90.0,400.0,45.0
2014,80.0,300.0,45.0
2013,70.0,300.0,40.0
2012,70.0,318.4,37.0
2011,75.0,285.0,35.5
2010,55.0,220.0,38.5
