Year,Average Monthly Net Salary (After Tax)
2023,28782.5
2022,22455.79
2021,22449.46
2020,20240.99
2019,18733.85
2018,16255.75
2017,18691.36
2016,16689.68
2015,18288.11
2014,17372.0
2013,16045.45
2012,15501.38
2011,14000.0
2010,15500.0
