Year,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre
2023,37166.67,24713.61
2022,39221.50,26895.00
2021,29500.00,22333.33
2020,35207.50,21093.54
2019,40196.37,21390.52
2018,36907.30,17981.68
2017,34083.33,15072.75
2016,26100.00,13184.78
2015,20428.57,11950.00
2014,-,-
2013,17400.00,12615.98
2012,17733.33,9646.50
2011,21350.00,8275.00
2010,12988.33,8633.50
