Year,One-way Ticket (Local Transport),Gasoline (1 liter)
2024,18.22,23.03
2023,18.44,23.09
2022,21.62,22.41
2021,22.83,17.56
2020,17.67,15.27
2019,16.58,15.62
2018,15.02,15.19
2017,11.58,13.23
2016,13.0,12.57
2015,11.8,12.7
2014,10.03,13.86
2013,8.09,12.86
2012,8.6,11.38
2011,9.5,9.57
2010,11.67,8.34
