Year,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre
2024,30555.78,20428.88
2023,37166.67,24713.61
2022,39221.50,26895.00
2021,29500.00,22333.33
2020,35207.50,21093.54
2019,40196.37,21390.52
2018,38258.52,18664.36
2017,35000.00,15620.22
2016,27441.18,13543.47
2015,21066.67,12246.15
2014,-,-
2013,17400.00,12615.98
2012,17733.33,10764.33
2011,21350.00,8275.00
2010,12988.33,8633.50
